"","State","Substitution.Requirements","Pharmacy.Notification.Requirements..to.prescriber..patient..or.others.","Recordkeeping.Requirements","NA."
"1","Alaska S.B. 32
Effective January 1,
2019.","A pharmacist may substitute a biosimilar if:
1.    The prescription does not indicate that it is dispensed as written; and
2.    The patient consents to the substitution.","The pharmacist must notify the prescriber:
1.    Information regarding the biological product provided to the patient, including the name and manufacturer;
2.    Within 3 business days of dispensing the biologic; and
3.    Via an electronic means (i.e., medical records system, prescribing technology, pharmacy benefit management system, pharmacy record) (with exceptions).","The pharmacist must keep a record of the dispensed biological product for at least 2 years after the date of dispensing.",NA
"2","Arizona H.B. 2310
Effective December 31,
2016","A pharmacist may substitute a biosimilar for a prescribed biologic only if:
1.   FDA has determined the biologic is interchangeable with the prescribed biologic; and
2.    The prescriber has not designated in writing or electronically that substitution is prohibited.","The patient must be notified of the substitution.
The pharmacist (or designee) must notify the prescriber:
1.    Of the drug’s name and manufacturer;
2.    Within 5 days of dispensing the biologic; and
3.    Via an electronic means (i.e., medical records system, prescribing technology, pharmacy record) (with exceptions).","The pharmacy must keep a written or electronic record of the dispensed biologic for at least 7 years after the substitution.",NA
"3","California S.B. 671
Effective January 1,
2016","A pharmacist may substitute an alternative biological product for a prescribed biologic if:
1.    The alternative is interchangeable;
2.    The prescriber did not indicate “do not substitute”; and
3.    The cost to the patient of the alternative is the same as or less than the price of the prescribed biologic.","The patient must be notified of the substitution.
The pharmacist (or designee) must notify the prescriber:
1.    Of the drug’s name and manufacturer;
2.    Within 5 days of dispensing the biologic; and
3.    Via an interoperable electronic medical records system (with exceptions).","None.",NA
"4","1",NA,NA,NA,NA
"5","State","Substitution Requirements","Pharmacy Notification Requirements (to prescriber, patient, or others)","Recordkeeping Requirements",NA
"6","Colorado
S.B. 15-071","A pharmacist may substitute a biosimilar for a prescribed biologic only if:
1.    FDA has determined the biologic is interchangeable with the prescribed biologic;
2.    The prescriber has not expressed a preference against substitution; and
3.    The prescribed biologic costs more than the biosimilar.","The pharmacist must notify the “purchaser” of the
substitution in writing or orally.","The pharmacy must keep a written or electronic record of the dispensed biologic
for at least 2 years after the substitution.",NA
"7","Effective April 3, 2015 (date signed by Governor)",NA,"The pharmacist (or designee) must notify the prescriber:
1.    Of the product’s name  and manufacturer;
2.    Within a reasonable amount of time after dispensing the biologic; and
3.    Via an interoperable electronic medical records system (with exceptions).",NA,NA
"8","Connecticut","A pharmacist may substitute a biosimilar for a prescribed biologic only if:
1.    The biosimilar is interchangeable with the prescribed biologic;
2.    The prescriber has not specified that there shall be no substitution;
3.    The purchaser has not instructed otherwise; and
4.    There will be a savings in cost passed on to the purchaser.","The pharmacist must notify the patient (or representative) of the substitution.","None.",NA
"9","S.B. 197",NA,NA,NA,NA
"10","Effective October 1,
2018",NA,"The pharmacist (or designee) must notify the prescriber:
1.    Of the product’s name and manufacturer;
2.    Within 48 hours of dispensing the biosimilar; and
3.    Via an electronic means (i.e., medical records system, prescribing technology, pharmacy record), fax, telephone, or electronic transmission.",NA,NA
"11","2",NA,NA,NA,NA
"12","State","Substitution Requirements","Pharmacy Notification Requirements (to prescriber, patient, or others)","Recordkeeping Requirements",NA
"13","Delaware S.B. 118
Effective May 28, 2014
(date signed by Governor)","A pharmacist may substitute a biosimilar for a prescribed biologic if:
1.    FDA has determined the biologic is interchangeable with the prescribed biologic; and
2.    The prescriber has not expressed a preference against substitution.","The pharmacist (or designee) must notify the patient in writing that FDA approved the dispensed biosimilar as interchangeable with the prescribed biologic.
The pharmacist (or designee) must notify the prescriber of the substitution:
1.    Within 48 hours of dispensing; and
2.    Via writing, fax, telephone, or electronic means.","The pharmacist must record on the prescription label and in the dispensation record:
1.    The name of the dispensed biosimilar followed by “substituted for” and the name of the prescribed biologic; and
2.    The manufacturer of the dispensed biosimilar
Records of the substitution must be kept for at least 3 years after dispensing.",NA
"14","Florida H.B. 365
Effective July 1, 2013","A pharmacist may substitute a biosimilar for a prescribed biologic if:
1.    FDA has determined the biologic is interchangeable with the prescribed biologic; and
2.    The prescriber has not expressed a preference against substitution.","The pharmacist must notify the person presenting the prescription of the substitution, along with the amount of the retail price difference between the prescribed biologic and the substituted biosimilar, and the person must be informed of the right to refuse such substitution.","The pharmacist must keep written or electronic records of the substitution for at least 2 years.",NA
"15","Georgia S.B. 51
Effective July 1, 2015","A pharmacist may substitute a biosimilar for a prescribed biologic if:
1.    FDA has determined the biologic is interchangeable with the prescribed biologic;
2.    Neither the prescriber nor the patient has expressed preference against substitution; and
3.    The substituted biosimilar has the lowest retail price of all interchangeable biologics in stock (when a prescriber prescribes a biologic by its nonproprietary name).","The pharmacist (or designee) must notify the prescriber:
1.    Of the drug’s name  and manufacturer;
2.    Within 48 hours (excluding weekends and holidays) after dispensing the biologic; and
3.    Via an electronic means (i.e., medical records system, prescribing technology, pharmacy record) (with exceptions).","The name and an explanation of the substituted biologic must be on the prescription label (with exceptions).
The pharmacist also must record on the original prescription that the substitution was made and the name of the dispensed biologic.",NA
"16","3",NA,NA,NA,NA
